0 0
0.122384 0.45632
0.249472 0.86656
0.381168 1.23264
0.517376 1.55648
0.658 1.84
0.802944 2.08512
0.952112 2.29376
1.10541 2.46784
1.26274 2.60928
1.424 2.72
1.5891 2.80192
1.75795 2.85696
1.93045 2.88704
2.1065 2.89408
2.286 2.88
2.46886 2.84672
2.65499 2.79616
2.84429 2.73024
3.03666 2.65088
3.232 2.56
3.43022 2.45952
3.63123 2.35136
3.83493 2.23744
4.04122 2.11968
4.25 2
4.46118 1.88032
4.67467 1.76256
4.89037 1.64864
5.10818 1.54048
5.328 1.44
5.54974 1.34912
5.77331 1.26976
5.99861 1.20384
6.22554 1.15328
6.454 1.12
6.6839 1.10592
6.91515 1.11296
7.14765 1.14304
7.3813 1.19808
7.616 1.28
7.85166 1.39072
8.08819 1.53216
8.32549 1.70624
8.56346 1.91488
8.802 2.16
9.04102 2.44352
9.28043 2.76736
9.52013 3.13344
9.76002 3.54368
10 4
